solution_id,designation,source_id,random_index,ref_epoch,ra_gaia,ra_error,dec_gaia,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,dist,pmtot,pmtot_error,pm_significance,ra_sdss,dec_sdss,type,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,known_qso,u_g,g_r,r_i,i_z
1635721458409799680,Gaia DR2 4020213324632594944,4020213324632594944,982271282,2015.5,179.97867399884993,0.4481704739852679,30.002522453475837,0.36235115313223726,1.797804459254472,0.5481168132540444,3.279965877532959,-9.535784912629964,0.8471388113823445,1.8567767971818958,0.7850732298122599,-0.08809094876050949,-0.3776476979255676,0.3981592655181885,0.0013482349459081888,-0.02345648966729641,-0.1074412390589714,0.6347002983093262,0.03226523846387863,-0.2399863451719284,-0.13500040769577026,171,0,168,3,1.8578710556030273,198.13818359375,1.1354693929809192,1.705510089482375,31,False,0.12172791361808777,1.3923880989696185,0.09054561816746051,-0.028736254200339317,20,11,0.8036278486251831,0,23,False,186,301.0510327407382,1.3519125571571156,222.68528747558594,19.49176597595215,17,60.34873648459331,8.231459200723968,7.331474781036377,20.899717330932617,19,411.5295799149424,10.029638122374072,41.031349182128906,18.22591781616211,1.5674363374710083,0,2.673799514770508,1.4079513549804688,1.265848159790039,,,0,,,,NOT_AVAILABLE,195.644858221841,78.33519763326964,167.0460781684114,27.29989476864326,,,,,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+4020213324632594944,,0.01864314915449462,9.714875911430589,1.074437424369662,9.041825695088754,179.978722630824,30.0025013384437,6,23.88555,21.58038,20.11363,18.73371,17.93091,False,2.305169999999997,1.466750000000001,1.379920000000002,0.8027999999999977
1635721458409799680,Gaia DR2 4008203599641042304,4008203599641042304,1333305639,2015.5,179.9837079615711,0.3395516918268533,29.98260397659097,0.3115883078771908,4.337790830874432,0.3907048802129311,11.102474212646484,-59.80306974856368,0.6802763660562189,47.55674600671628,0.7397387123272775,-0.013672612607479095,-0.2792133092880249,0.41258108615875244,-0.01967887580394745,-0.08699062466621399,-0.12503494322299957,0.7513909935951233,0.05505215376615524,-0.16640642285346985,-0.16255563497543335,202,0,202,0,2.8276538848876953,257.8280029296875,0.8094615560009867,1.4625302110435285,31,False,0.17620106041431427,1.1964378903023654,0.07136906158726063,0.0024533127434551716,23,11,0.7186431288719177,0,24,False,211,367.06924493652826,1.370567288424872,267.8228454589844,19.2764949798584,17,33.69059681346349,5.541421827463329,6.079774856567383,21.532615661621094,18,571.1453072140342,5.74997729336101,99.33000946044922,17.870054244995117,1.6477433443069458,0,3.6625614166259766,2.2561206817626953,1.4064407348632812,,,0,,,,NOT_AVAILABLE,195.73743792319885,78.34329823258098,167.06049763351552,27.28403451799012,,,,,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+4008203599641042304,,0.02239908376317263,76.40714130301498,0.9199916329623948,83.05199587194308,179.983928291451,29.9824481779211,6,24.72031,22.17647,20.65047,18.51833,17.37619,False,2.543840000000003,1.5259999999999998,2.1321399999999997,1.1421399999999977
1635721458409799680,Gaia DR2 4014208513676245888,4014208513676245888,1105362459,2015.5,180.03982534673244,0.5015456171635725,30.00566349875915,0.3647980107869692,-0.5755086111294943,0.5562469963052947,-1.0346277952194214,-7.295034376837828,1.0198276377488156,-6.119465820503919,0.8856466687586642,0.15175984799861908,-0.22025270760059357,0.4191993176937103,0.064457967877388,-0.2614296078681946,-0.003580274060368538,0.5232654213905334,0.07603467255830765,-0.16398586332798004,-0.06530910730361938,204,0,203,1,1.592195749282837,230.66551208496094,0.5415826509579476,0.22059337395019996,31,False,0.07996761798858643,1.0989924690979698,0.10163872418321634,0.04244796931743622,23,12,0.9291488528251648,0,25,False,217,212.09988698387957,1.2146707147085436,174.61512756347656,19.87201499938965,15,56.641758765557675,6.244986984785407,9.069955825805664,20.96854591369629,18,243.6039439934462,6.970970343203817,34.94548416137695,18.795209884643555,1.4155863523483276,0,2.1733360290527344,1.0965309143066406,1.0768051147460938,,,0,,,,NOT_AVAILABLE,195.57880720451402,78.3865462451003,167.09779032863148,27.326411469471623,,,,,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+4014208513676245888,,0.03494839533579272,9.52183745332598,1.3063089808155328,7.289115816521041,180.039867363235,30.0056545464078,6,23.76605,21.64459,20.21154,19.13053,18.52909,False,2.121459999999999,1.4330500000000015,1.0810099999999991,0.6014400000000002
1635721458409799680,Gaia DR2 4026218204308261504,4026218204308261504,1377669976,2015.5,180.01899867879945,0.26493030493172953,30.034488974348374,0.19425612466803863,0.5606775200414658,0.3022452282378114,1.855041742324829,-3.8370819888197785,0.5571286230293906,-17.65005435293542,0.4649709922185044,0.1270086169242859,-0.22697801887989044,0.3351120054721832,0.05530637875199318,-0.2571186423301697,-0.012813733890652657,0.5089007019996643,0.03752068802714348,-0.15514355897903442,-0.07077706605195999,203,0,203,0,-0.008996125310659409,197.155517578125,0.0,1.4282446375932695e-15,31,False,0.2711126506328583,1.5751991404471117,0.05606434467596116,0.02805241197347641,23,12,0.5021688342094421,0,25,False,218,464.61317585313395,1.1811503681161324,393.35650634765625,19.02063751220703,0,,,,,0,,,,,,2,,,,,,0,,,,NOT_AVAILABLE,195.4559774479674,78.36323372080483,167.0651097137961,27.344110932602497,,,,,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+4026218204308261504,,0.03821245435902893,18.0623258981367,0.6999435117006864,25.805405145123494,180.019033049856,30.0345069536366,6,21.22792,19.6999,18.97537,18.67237,18.50712,False,1.5280200000000015,0.7245299999999979,0.3030000000000008,0.16525000000000034
1635721458409799680,Gaia DR2 4008203359122456320,4008203359122456320,348744566,2015.5,180.031143406188,0.31465988511731086,29.96818063950717,0.20831595364482478,0.19706118177587284,0.3406186540124431,0.5785390138626099,5.725330414808127,0.6130675432093655,-7.680386486813126,0.48589300761023785,0.10678276419639587,-0.25297799706459045,0.49044114351272583,0.0508098378777504,-0.1319146305322647,0.008514764718711376,0.5425025224685669,0.07353223115205765,-0.12743911147117615,-0.03899198770523071,201,0,195,6,1.765899658203125,225.7957000732422,0.5411713789257591,0.7807450456060712,31,False,0.24699875712394714,1.5706252649972146,0.05845843489522673,0.02349276654422283,23,12,0.5668277740478516,0,25,False,211,466.59229209849644,1.5457302961543276,301.8587951660156,19.016021728515625,21,271.9523818831012,6.98030732256758,38.95994567871094,19.265155792236328,20,285.7901844658034,8.136309433072839,35.12528610229492,18.621801376342773,1.1953531503677368,0,0.6433544158935547,0.24913406372070312,0.39422035217285156,,,0,,,,NOT_AVAILABLE,195.76871105769587,78.3863874491626,167.1091072599896,27.289527941421238,,,,,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+4008203359122456320,,0.041711266151735205,9.579548264169281,0.7672767119753398,12.485128395865047,180.031143580933,29.9681789084476,6,20.14239,19.33839,18.9833,18.8786,18.8066,False,0.8039999999999985,0.35509000000000057,0.10470000000000113,0.07199999999999918
1635721458409799680,Gaia DR2 4014208135719094784,4014208135719094784,1018029750,2015.5,180.04847731691962,0.45615450424743986,29.97397412056448,0.3436215711707376,-0.4273781232422157,0.5238429123450259,-0.8158516883850098,-3.6316674198503236,0.8907887898775193,-5.678702930133301,0.8353191910855559,0.1595451831817627,-0.2677285671234131,0.4311745762825012,0.06412848085165024,-0.28142818808555603,-0.024321183562278748,0.562782883644104,0.07763826847076416,-0.19921894371509552,-0.08723031729459763,212,0,210,2,-0.5456945300102234,193.50564575195312,0.0,0.0,31,False,0.09419010579586029,1.5483720838490973,0.09343808658785036,0.03291197866201401,24,12,0.8242080807685852,0,27,False,237,227.39160037225,1.009073744689063,225.34686279296875,19.796430587768555,17,139.63701409865638,8.866563151227393,15.748719215393066,19.9888858795166,18,133.5266680247723,5.362441514023471,24.900348663330078,19.447999954223633,1.2012919187545776,0,0.5408859252929688,0.19245529174804688,0.3484306335449219,,,0,,,,NOT_AVAILABLE,195.72616113811893,78.40001671570555,167.12129919207945,27.301430034222925,,,,,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+4014208135719094784,,0.049396195363871145,6.740673202070165,1.1668109903431116,5.777005237230417,180.048506411826,29.9739788951606,6,21.05155,20.04863,19.766,19.69874,19.6922,False,1.0029199999999996,0.28263000000000105,0.06725999999999743,0.0065400000000011005
1635721458409799680,Gaia DR2 4020213393352070528,4020213393352070528,108468574,2015.5,179.93864837029554,0.2174552562855593,30.002048705857256,0.18556024275781466,1.4314268210932648,0.2989028703228222,4.788936138153076,-13.29878953183709,0.4656463204133103,14.88510295483994,0.41871861833405544,0.02027728408575058,-0.1819124072790146,0.290792852640152,-0.004772508982568979,-0.20064771175384521,-0.11795367300510406,0.636655330657959,-6.401738937711343e-05,-0.40111154317855835,-0.0888061448931694,171,0,169,2,1.3560924530029297,189.07232666015625,0.4407845373816863,0.8581070436410374,31,False,0.44033509492874146,1.4243580421130382,0.05248275686607999,-0.006445254199206829,19,10,0.42717254161834717,0,21,False,185,682.7382041705748,1.480668484311507,461.101318359375,18.60272979736328,18,174.20087007228193,8.598186997004325,20.26018714904785,19.748762130737305,16,793.3530416881623,7.363870927790408,107.73587036132812,17.513254165649414,1.417166829109192,0,2.2355079650878906,1.1460323333740234,1.0894756317138672,,,0,,,,NOT_AVAILABLE,195.6800503620954,78.30127221635027,167.01143787893523,27.28395611992989,,,,,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+4020213393352070528,,0.053173845362079634,19.96056344365771,0.5979313164838869,33.382702817833774,179.93871269213,30.0019807000412,6,22.93958,20.39215,18.95489,17.92791,17.35633,False,2.5474299999999985,1.437260000000002,1.0269799999999982,0.5715800000000009
1635721458409799680,Gaia DR2 4014208135719103744,4014208135719103744,544154057,2015.5,180.05896944730625,0.3151996213795234,29.984058378252143,0.23373851241577065,-0.35324134710320015,0.38359136329374627,-0.9208793044090271,-10.327311888229906,0.5912374783117542,-9.093825278246626,0.5233740819534934,0.054240304976701736,-0.32478049397468567,0.4493449926376343,0.026699695736169815,-0.02185267023742199,-0.015579581260681152,0.5094534754753113,0.03841254860162735,-0.11639559268951416,-0.07823354750871658,199,0,192,7,-0.5655718445777893,175.6340789794922,0.0,0.0,31,False,0.20737408101558685,1.598839978189225,0.06780840805388956,-0.0008368674316443503,23,11,0.5478041172027588,0,26,False,214,394.968000594029,1.157654118265652,341.17962646484375,19.19696044921875,16,219.39916155960427,8.425016157420684,26.041393280029297,19.498300552368164,16,238.09502518554575,7.879460968723476,30.217172622680664,18.820043563842773,1.1583069562911987,0,0.6782569885253906,0.30134010314941406,0.37691688537597656,,,0,,,,NOT_AVAILABLE,195.66823413658483,78.40699521543664,167.12536470263066,27.314515948762498,,,,,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+4014208135719103744,,0.05349990645993915,13.760487964750817,0.7583305758047647,18.145764398524676,180.05901752909,29.9840530324928,6,20.32934,19.47463,19.19149,19.06303,19.0765,False,0.8547099999999972,0.2831399999999995,0.12846000000000046,-0.013469999999998095
1635721458409799680,Gaia DR2 4026218479186545152,4026218479186545152,448565509,2015.5,179.99719831791626,0.1852380563290411,30.056409807789265,0.1318301539997027,2.4267727147685165,0.20620179502408656,11.768921852111816,-27.26725427794665,0.40953050217267745,-69.81832200771736,0.3068951769707441,0.10837740451097488,-0.13523608446121216,0.27520230412483215,0.02312285080552101,-0.1548135131597519,-0.040416035801172256,0.5498126149177551,-0.02924867533147335,-0.2722744643688202,-0.008524971082806587,205,0,204,1,1.4836318492889404,229.35641479492188,0.2587443520681858,0.4397184688257815,31,False,0.5744199752807617,1.3192510030943851,0.04052236770527525,0.0981493890285492,23,11,0.3660258948802948,0,25,False,220,803.3141536016267,1.8303634088147984,438.88232421875,18.426151275634766,0,,,,,0,,,,,,2,,,,,,0,,,,NOT_AVAILABLE,195.3679207556346,78.34041807748379,167.03506103227764,27.355259559374826,,,,,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+4026218479186545152,,0.056464578660677354,74.95399418197478,0.5096636097159987,147.06561887701108,179.997319328992,30.0565863826616,6,22.24434,20.32845,18.89217,17.73783,17.09908,False,1.915890000000001,1.43628,1.1543400000000013,0.6387499999999982
1635721458409799680,Gaia DR2 4008203256043239552,4008203256043239552,542807732,2015.5,180.02257140566041,0.27206526247634333,29.93726736342648,0.19437957521774382,-0.14190039780907054,0.3346733682473245,-0.4239966869354248,0.8991395768901786,0.5641271705752855,-8.710763588980141,0.4487093966782237,0.07125938683748245,-0.29560163617134094,0.2394915670156479,0.013067450374364853,-0.1329086273908615,-0.05479187145829201,0.5277876257896423,-0.06979712098836899,-0.18343903124332428,-0.02849537320435047,193,0,191,2,2.850382089614868,245.7668914794922,0.7960259103200072,2.147972435873235,31,False,0.2775837481021881,1.6138907441156618,0.05473149936115364,0.04628375545144081,22,11,0.5022896528244019,0,25,False,218,556.6780760504441,1.4543774711353834,382.7603759765625,18.824356079101562,20,302.64135863371496,7.154041987053625,42.30354690551758,19.149066925048828,20,346.0664710381281,9.748810686807897,35.49832534790039,18.414020538330078,1.165319561958313,0,0.73504638671875,0.3247108459472656,0.4103355407714844,,,0,,,,NOT_AVAILABLE,195.9264715325805,78.38495733303354,167.1171997814655,27.258559317913004,,,,,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+4008203256043239552,,0.06570617805800849,8.757045979200544,0.7107415615735337,12.320998873082695,180.022591104974,29.9372631548217,6,20.00369,19.06451,18.82879,18.7158,18.69528,False,0.9391800000000003,0.23571999999999704,0.11298999999999992,0.020520000000001204
